Date,Price
1/4/2021,269
1/5/2021,271
1/6/2021,263
1/7/2021,269
1/8/2021,268
1/11/2021,257
1/12/2021,251
1/13/2021,252
1/14/2021,246
1/15/2021,251
1/19/2021,261
1/20/2021,267
1/21/2021,273
1/22/2021,275
1/25/2021,278
1/26/2021,282
1/27/2021,272
1/28/2021,265
1/29/2021,258
2/1/2021,262
2/2/2021,267
2/3/2021,267
2/4/2021,266
2/5/2021,268
2/8/2021,267
2/9/2021,269
2/10/2021,272
2/11/2021,270
2/12/2021,271
2/16/2021,274
2/17/2021,274
2/18/2021,269
2/19/2021,262
2/22/2021,260
2/23/2021,266
2/24/2021,264
2/25/2021,255
2/26/2021,258
3/1/2021,265
3/2/2021,259
3/3/2021,255
3/4/2021,258
3/5/2021,264
3/8/2021,255
3/9/2021,266
3/10/2021,265
3/11/2021,274
3/12/2021,268
3/15/2021,274
3/16/2021,279
3/17/2021,284
3/18/2021,279
3/19/2021,290
3/22/2021,294
3/23/2021,291
3/24/2021,282
3/25/2021,279
3/26/2021,283
3/29/2021,291
3/30/2021,288
3/31/2021,295
4/1/2021,299
4/5/2021,309
4/6/2021,306
4/7/2021,313
4/8/2021,313
4/9/2021,312
4/12/2021,312
4/13/2021,310
4/14/2021,303
4/15/2021,308
4/16/2021,306
4/19/2021,302
4/20/2021,303
4/21/2021,301
4/22/2021,297
4/23/2021,301
4/26/2021,303
4/27/2021,304
4/28/2021,307
4/29/2021,330
4/30/2021,325
5/3/2021,323
5/4/2021,318
5/5/2021,315
5/6/2021,320
5/7/2021,319
5/10/2021,306
5/11/2021,307
5/12/2021,303
5/13/2021,305
5/14/2021,316
5/17/2021,315
5/18/2021,310
5/19/2021,314
5/20/2021,319
5/21/2021,316
5/24/2021,325
5/25/2021,328
5/26/2021,328
5/27/2021,333
5/28/2021,329
6/1/2021,329
6/2/2021,329
6/3/2021,326
6/4/2021,330
6/7/2021,337
6/8/2021,334
6/9/2021,330
6/10/2021,332
6/11/2021,331
6/14/2021,337
6/15/2021,337
6/16/2021,331
6/17/2021,337
6/18/2021,330
6/21/2021,332
6/22/2021,339
6/23/2021,341
6/24/2021,343
6/25/2021,341
6/28/2021,356
6/29/2021,352
6/30/2021,348
7/1/2021,354
7/2/2021,355
7/6/2021,353
7/7/2021,350
7/8/2021,346
7/9/2021,350
7/12/2021,353
7/13/2021,352
7/14/2021,348
7/15/2021,344
7/16/2021,341
7/19/2021,337
7/20/2021,342
7/21/2021,346
7/22/2021,351
7/23/2021,370
7/26/2021,372
7/27/2021,368
7/28/2021,373
7/29/2021,358
7/30/2021,356
8/2/2021,352
8/3/2021,351
8/4/2021,359
8/5/2021,363
8/6/2021,364
8/9/2021,362
8/10/2021,361
8/11/2021,360
8/12/2021,363
8/13/2021,363
8/16/2021,367
8/17/2021,358
8/18/2021,355
8/19/2021,355
8/20/2021,359
8/23/2021,363
8/24/2021,366
8/25/2021,368
8/26/2021,364
8/27/2021,373
8/30/2021,381
8/31/2021,379
9/1/2021,382
9/2/2021,375
9/3/2021,376
9/7/2021,382
9/8/2021,378
9/9/2021,378
9/10/2021,379
9/13/2021,377
9/14/2021,377
9/15/2021,374
9/16/2021,373
9/17/2021,365
9/20/2021,356
9/21/2021,357
9/22/2021,343
9/23/2021,346
9/24/2021,353
9/27/2021,354
9/28/2021,341
9/29/2021,340
9/30/2021,339
10/1/2021,343
10/4/2021,326
10/5/2021,333
10/6/2021,334
10/7/2021,329
10/8/2021,330
10/11/2021,325
10/12/2021,324
10/13/2021,325
10/14/2021,329
10/15/2021,325
10/18/2021,335
10/19/2021,340
10/20/2021,341
10/21/2021,342
10/22/2021,325
10/25/2021,329
10/26/2021,316
10/27/2021,312
10/28/2021,317
10/29/2021,324
11/1/2021,330
11/2/2021,328
11/3/2021,332
11/4/2021,336
11/5/2021,341
11/8/2021,339
11/9/2021,335
11/10/2021,328
11/11/2021,328
11/12/2021,341
11/15/2021,348
11/16/2021,343
11/17/2021,341
11/18/2021,339
11/19/2021,345
11/22/2021,341
11/23/2021,337
11/24/2021,341
11/26/2021,333
11/29/2021,338
11/30/2021,324
12/1/2021,311
12/2/2021,310
12/3/2021,307
12/6/2021,318
12/7/2021,323
12/8/2021,331
12/9/2021,330
12/10/2021,330
12/13/2021,334
12/14/2021,334
12/15/2021,342
12/16/2021,335
12/17/2021,334
12/20/2021,325
12/21/2021,334
12/22/2021,330
12/23/2021,335
12/27/2021,346
12/28/2021,346
12/29/2021,343
12/30/2021,344
